id_part,id_die,id_machine,id_client,manufactored_on,defect_type,created_at,updated_at,enabled,category,zone,sub_zone,view,mapped_defect,prob_Blow_Hole,pred_Blow_Hole,prob_Crack,pred_Crack,prob_Non_filling,pred_Non_filling,prob_Porosity,pred_Porosity,prob_Shrinkage,pred_Shrinkage,prob_Chipoff,pred_Chipoff,correct
0801120226580,S14,UBE 850T-2,1,,Bend,,2026-09-11 06:14:59.277616+00:00,,CR,A,A-3,Top View,,0.12941200395707994,0,0.7528430868218424,1,0.45160819343581077,1,0.5980955471609977,1,0.745806996974939,1,0.12692269364223185,0,
0801132526650,S14,UBE 850T-2,1,,Crack,,2026-09-11 06:17:40.071283+00:00,,CR,A,A-4,Top View,Crack,0.3025793306648715,0,0.7576666720878221,1,0.46758035111443974,1,0.1661932246773787,0,0.25295295542873364,0,0.1145219267117573,0,1.0
0801074826538,S14,UBE 850T-2,1,,Non-Filling,,2026-09-11 06:34:08.706804+00:00,,CR,A,A-4,Top View,Non_filling,0.12908081686793588,0,0.7138584972686592,1,0.45157195675404416,1,0.8484283793648885,1,0.24751503214565096,0,0.3098161814187308,0,1.0
0802184227534,S14,UBE 850T-2,1,,PLC_COMMUNICATION_FAILED_PLC packet timeout,,2026-09-12 10:39:58.604296+00:00,,,,,,,0.37146201285411734,0,0.7720662452698425,1,0.46676266193617477,1,0.27080433248937696,0,0.2505661150936441,0,0.11130555487322003,0,
0801064126485,S14,UBE 850T-2,1,,Dent,,2026-09-11 06:38:11.657687+00:00,,CR,L,L-1,Left Side,,0.18942390874011908,0,0.7796609476210186,1,0.44949207740496705,1,0.7335233409399599,1,0.19880948979742835,0,0.1620786729320699,0,
0801062726473,S14,UBE 850T-2,1,,Dent,,2026-09-11 06:48:10.790356+00:00,,CR,B,B-1,Top View,,0.22547707783273363,0,0.7573140893929337,1,0.432315501328455,1,0.3016868863035706,0,0.4182886597175207,1,0.10173552907159691,0,
0731103025569,S14,UBE 850T-2,1,,LT Oil Gallery-1 NG,,2026-09-11 07:06:55.352140+00:00,,CRAM,J,J-1,Left Side,,0.17847093924639912,0,0.25782685560041635,0,0.3052931845151149,0,0.5988299570080352,1,0.6702739520668448,1,0.12190441714427441,0,
0731102525565,S14,UBE 850T-2,1,,Dent,,2026-09-11 07:07:11.785764+00:00,,MR,Q,Q-1,Rear,,0.4118950518629677,1,0.2721928931391083,0,0.44078386025200356,1,0.18363542765848606,0,0.2763234529756311,0,0.10134749518309391,0,
0731115725639,S14,UBE 850T-2,1,,Porosity,,2026-09-11 07:08:44.400274+00:00,,CRAM,E,E-2,Bottom View,Porosity,0.07837521868287062,0,0.2948017381161041,0,0.2353681511712862,0,0.5974384248917223,1,0.23835394439983473,0,0.14351300105782175,0,1.0
0731211326051,S14,UBE 850T-2,1,,Chip-off,,2026-09-22 01:04:48.228507+00:00,,CR,C,C-1,Top View,Chipoff,0.27459322228245897,0,0.7478498959120556,1,0.493090818111577,1,0.4251427048137518,1,0.24840308418441676,0,0.11932062712115585,0,0.0
0731161725826,S14,UBE 850T-2,1,,Crack,,2026-09-22 02:25:32.427100+00:00,,CRAM,E,E-2,Bottom View,Crack,0.4735283260349653,1,0.7482799075018494,1,0.3049812126938212,0,0.510859273422831,1,0.18648353569129608,0,0.16420039900163633,0,1.0
0801210426960,S14,UBE 850T-2,1,,Non-Filling,,2026-09-22 06:28:52.250587+00:00,,CR,N,N-1,Right Side,Non_filling,0.0965228955317225,0,0.2738829597437293,0,0.42451491522483675,1,0.25978927572344407,0,0.41793121279799716,1,0.1736918439385496,0,1.0
0801004826222,S14,UBE 850T-2,1,,Shrinkage,,2026-09-22 00:17:26.406915+00:00,,CR,H,H-1,Bottom View,Shrinkage,0.3990858830909742,0,0.7989977904503106,1,0.5348952441647148,1,0.29794319583554063,0,0.394807850672281,0,0.10883095237630486,0,0.0
0802215527621,S14,UBE 850T-2,1,,Bend,,2026-09-11 09:14:01.096181+00:00,,CR,A,A-2,Top View,,0.17740423082906553,0,0.7493813911224863,1,0.510932074709957,1,0.15049564339611218,0,0.27795457121919187,0,0.12340365407608944,0,
0802220327628,S14,UBE 850T-2,1,,Non-Filling,,2026-09-11 09:14:13.235154+00:00,,CR,N,N-1,Right Side,Non_filling,0.23874874787637806,0,0.7270535568723503,1,0.3660163294304777,0,0.15346101629436185,0,0.7383557528689687,1,0.15478028322054863,0,0.0
0802215827624,S14,UBE 850T-2,1,,Bend,,2026-09-11 09:14:37.669014+00:00,,CR,A,A-3,Top View,,0.33295632949368736,0,0.7867834157628172,1,0.2932439156348433,0,0.1656001790369615,0,0.24417060212123817,0,0.12527446529875316,0,
0802214127610,S14,UBE 850T-2,1,,Bend,,2026-09-11 09:15:14.088407+00:00,,CR,A,A-3,Top View,,0.1157233278067247,0,0.7773084019758544,1,0.3043401291536452,0,0.8366004689496663,1,0.2025057689047875,0,0.8021344881540685,1,
0802222027635,S14,UBE 850T-2,1,,Bend,,2026-09-11 09:15:50.619235+00:00,,CR,R,R-1,Rear,,0.2744689861822808,0,0.7728918445060649,1,0.4659673173664661,1,0.284272772701888,0,0.418502866889192,1,0.09809914725920721,0,
0802222627640,S14,UBE 850T-2,1,,Bend,,2026-09-11 09:16:02.800268+00:00,,CR,R,R-1,Rear,,0.41174257511669665,1,0.7945686754798996,1,0.40196213494490945,1,0.18638228808348012,0,0.1960703636732278,0,0.16297109806861276,0,
